Boerboel List
7,Joubert Butch,19910000102,0,,
8,Jakkalsfontein Foksie,20150000289821,84,20130000211241,2012112235001
13,Columbus Jarah,19940410009,76,19800410002,19800410001
14,Egoli Tiger Wheels,19970326102,70,19920326001,19930326104
15,Lionheart´s Sean,19991211021,802,19970326102,19940410009
16,Rhabe Tia Tia,19840000049,0,19840000070,19840051009
21,Smit Tessa,19910136010,8650,19900136014,19860029201
22,Lourina Tinka,19900070020,7733,19870070003,19870070001
23,Lourina Mac,19870070001,965,19840051006,19840000049
24,Lourina Mitzi,19880070003,0,19870070003,19840051002
17,Waterval Shiba,19840051006,0,19840000031,19840051004
18,Waterval Boela,19840051002,0,19840000070,19840051009
19,Lourina Sheila,19870070003,895,19840051006,19840051004
20,Piona Vegter,19910113027,83,19890029003,19810017001
25,Piona Rommel,19940113022,8000,19910136010,19910113027
26,Smit Mitzie,19930136002,7767,19900070020,19910113027
27,Poortjie Boela,19950122001,77,19880070003,19870070001
